'version'; 'constraints'; 'alpha'; 'support'; 'mode'; 'file'; 'time' 
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 5922.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 5340.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 5101.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 36996.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 28790.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 28571.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 4979.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 4892.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 4732.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 25330.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 24841.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 23540.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 4788.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 4687.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 4616.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 15314.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 15850.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_100_minlen_16_maxlen_16_size_1600.mxml; 15877.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 5519.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 5581.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 5291.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 30058.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 29963.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 32623.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 5007.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 4934.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 5239.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 27201.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 25227.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 25182.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 5602.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 5448.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 4939.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 16556.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 19509.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_104_minlen_16_maxlen_16_size_1600.mxml; 16741.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 5288.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 5124.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 4975.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 32632.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 36226.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 37286.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 5796.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 5655.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 6245.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 28971.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 30085.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 30614.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 6653.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 5384.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 5509.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 18617.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 19617.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_108_minlen_16_maxlen_16_size_1600.mxml; 20110.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 5854.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 5898.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 5637.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 42107.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 40348.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 39861.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 5412.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 5344.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 5417.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 29800.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 30206.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 29470.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 6072.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 5575.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 5353.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 18595.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 18466.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_112_minlen_16_maxlen_16_size_1600.mxml; 19486.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 5507.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 5284.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 5400.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 47364.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 46863.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 47514.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 5888.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 5375.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 5494.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 30395.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 35775.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 90; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 34160.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 6045.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 5404.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 100; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 5261.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 18768.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 19716.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 100; replayers; alpha_116_minlen_16_maxlen_16_size_1600.mxml; 20695.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_12_minlen_16_maxlen_16_size_1600.mxml; 991.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_12_minlen_16_maxlen_16_size_1600.mxml; 883.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 80; replayers; alpha_12_minlen_16_maxlen_16_size_1600.mxml; 843.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_12_minlen_16_maxlen_16_size_1600.mxml; 1234.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_12_minlen_16_maxlen_16_size_1600.mxml; 1222.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 100; 80; replayers; alpha_12_minlen_16_maxlen_16_size_1600.mxml; 1220.0
v3; [Alternate_Succession, Response, Alternate_Precedence, Precedence, Responded_Existence, Alternate_Response, Succession, Init, Chain_Succession, Absence2, Chain_Precedence, Chain_Response, Existence]; 0; 90; replayers; alpha_12_minlen_16_maxlen_16_size_1600.mxml; 850.0
